代號,名稱,年/月,營業毛利率,營業毛利成長率,已實現銷貨毛利率,已實現銷貨毛利成長率,已實現銷貨毛利成長率(%)
3017,奇鋐,2023/03,19.74 ,2.96 ,19.74 ,2.96 ,1.03 
3017,奇鋐,2023/06,20.11 ,8.12 ,20.11 ,8.12 ,1.08 
3017,奇鋐,2023/09,21.66 ,13.10 ,21.66 ,13.10 ,1.13 
2405,輔信,2023/03,39.02 ,(2.06),39.02 ,(2.06),0.98 
2405,輔信,2023/06,38.61 ,(24.92),38.61 ,(24.92),0.75 
2405,輔信,2023/09,41.39 ,14.42 ,41.39 ,14.42 ,1.14 
8076,伍豐,2023/03,27.64 ,(13.58),27.70 ,(13.82),0.86 
8076,伍豐,2023/06,28.72 ,(19.25),28.65 ,(19.62),0.80 
8076,伍豐,2023/09,32.92 ,32.97 ,30.78 ,24.31 ,1.24 
6188,廣明,2023/03,24.13 ,(1.95),24.13 ,(1.95),0.98 
6188,廣明,2023/06,23.60 ,(10.47),23.60 ,(10.47),0.90 
6188,廣明,2023/09,26.85 ,10.14 ,26.85 ,10.14 ,1.10 
3712,永崴投控,2023/03,12.68 ,(1.30),12.68 ,(1.30),0.99 
3712,永崴投控,2023/06,12.50 ,(22.02),12.50 ,(22.02),0.78 
3712,永崴投控,2023/09,14.39 ,26.65 ,14.39 ,26.65 ,1.27 
3701,大眾控,2023/03,14.87 ,60.03 ,14.87 ,60.03 ,1.60 
3701,大眾控,2023/06,16.25 ,19.18 ,16.25 ,19.18 ,1.19 
3701,大眾控,2023/09,18.70 ,70.60 ,18.70 ,70.60 ,1.71 
2365,昆盈,2023/03,39.91 ,(8.30),39.91 ,(8.30),0.92 
2365,昆盈,2023/06,35.05 ,(34.26),35.05 ,(34.26),0.66 
2365,昆盈,2023/09,41.42 ,22.33 ,41.42 ,22.33 ,1.22 
8050,廣積,2023/03,28.09 ,13.10 ,28.10 ,13.32 ,1.13 
8050,廣積,2023/06,23.59 ,(18.89),23.59 ,(18.97),0.81 
8050,廣積,2023/09,22.31 ,(40.40),22.31 ,(40.38),0.60 
2305,全友,2023/03,27.64 ,(3.17),27.64 ,(3.17),0.97 
2305,全友,2023/06,27.18 ,(2.25),27.18 ,(2.25),0.98 
2305,全友,2023/09,34.01 ,19.15 ,34.01 ,19.15 ,1.19 
3013,晟銘電,2023/03,9.53 ,68.15 ,9.53 ,68.15 ,1.68 
3013,晟銘電,2023/06,10.18 ,67.32 ,10.18 ,67.32 ,1.67 
3013,晟銘電,2023/09,12.79 ,14.92 ,12.79 ,14.92 ,1.15 
2387,精元,2023/03,12.85 ,(16.56),12.85 ,(16.56),0.83 
2387,精元,2023/06,14.26 ,47.43 ,14.26 ,47.43 ,1.47 
2387,精元,2023/09,18.02 ,(1.47),18.02 ,(1.47),0.99 
6121,新普,2023/03,14.48 ,(19.14),14.48 ,(19.14),0.81 
6121,新普,2023/06,13.39 ,(33.30),13.39 ,(33.30),0.67 
6121,新普,2023/09,13.62 ,(26.66),13.62 ,(26.66),0.73 
6579,研揚,2023/03,32.28 ,12.54 ,32.28 ,12.54 ,1.13 
6579,研揚,2023/06,35.50 ,(3.72),35.50 ,(3.72),0.96 
6579,研揚,2023/09,36.50 ,18.14 ,36.50 ,18.14 ,1.18 
2417,圓剛,2023/03,52.20 ,(18.95),52.20 ,(18.95),0.81 
2417,圓剛,2023/06,54.18 ,(18.61),54.18 ,(18.61),0.81 
2417,圓剛,2023/09,55.58 ,(0.25),55.58 ,(0.25),1.00 
3494,誠研,2023/03,21.93 ,364.41 ,21.93 ,364.41 ,4.64 
3494,誠研,2023/06,5.86 ,462.27 ,5.86 ,462.27 ,5.62 
